,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,0,0,1,0,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,1,2,0.11542288557213931,0.001275098084468036,0
1,5575-GNVDE,1,0,0,0,0.4722222222222222,1,0,0,2,0,2,0,0,0,1,0,3,0.3850746268656716,0.21586660512347106,0
2,3668-QPYBK,1,0,0,0,0.027777777777777776,1,0,0,2,2,0,0,0,0,0,1,3,0.35422885572139307,0.010310408492960998,1
3,7795-CFOCW,1,0,0,0,0.625,0,1,0,2,0,2,2,0,0,1,0,0,0.23930348258706463,0.21024117239787676,0
4,9237-HQITU,0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5218905472636816,0.015330025386568198,1
5,9305-CDSKC,0,0,0,0,0.1111111111111111,1,2,1,0,0,2,0,2,2,0,1,2,0.8099502487562189,0.09251096238172168,1
6,1452-KIOVK,1,0,0,1,0.3055555555555555,1,2,1,0,2,0,0,2,0,0,1,1,0.7049751243781094,0.22277867528271408,0
7,6713-OKOMC,0,0,0,0,0.1388888888888889,0,1,0,2,0,0,0,0,0,0,0,3,0.11442786069651739,0.032667897530579276,0
8,7892-POOKP,0,0,1,0,0.38888888888888884,1,2,1,0,0,2,2,2,2,0,1,2,0.8611940298507462,0.3493249480729287,1
9,6388-TABGU,1,0,0,1,0.861111111111111,1,0,0,2,2,0,0,0,0,1,0,0,0.3771144278606965,0.4003173321024694,0
10,9763-GRSKD,1,0,1,1,0.18055555555555555,1,0,0,2,0,0,0,0,0,0,1,3,0.3154228855721393,0.06561850911608587,0
11,7469-LKBCI,1,0,0,0,0.2222222222222222,1,0,2,1,1,1,1,1,1,2,0,1,0.006965174129353213,0.035541195476575124,0
12,8091-TTVAX,1,0,1,0,0.8055555555555555,1,2,1,0,0,2,0,2,2,1,0,1,0.8169154228855721,0.6533925686591276,0
13,0280-XJGEX,1,0,0,0,0.6805555555555555,1,2,1,0,2,2,0,2,2,0,1,0,0.8502487562189055,0.578986845141934,1
14,5129-JLPIS,1,0,0,0,0.3472222222222222,1,0,1,2,0,2,2,2,2,0,1,2,0.8681592039800995,0.30778329102238633,0
